Ticker,Name
RELIANCE,Reliance Industries Ltd
TCS,Tata Consultancy Services Ltd
HDFCBANK,HDFC Bank Ltd
INFY,Infosys Ltd
ICICIBANK,ICICI Bank Ltd
HINDUNILVR,Hindustan Unilever Ltd
BHARTIARTL,Bharti Airtel Ltd
SBIN,State Bank of India
ITC,ITC Ltd
KOTAKBANK,Kotak Mahindra Bank Ltd
LT,Larsen & Toubro Ltd
AXISBANK,Axis Bank Ltd
BAJFINANCE,Bajaj Finance Ltd
ASIANPAINT,Asian Paints Ltd
MARUTI,Maruti Suzuki India Ltd
HCLTECH,HCL Technologies Ltd
SUNPHARMA,Sun Pharmaceutical Industries Ltd
TITAN,Titan Company Ltd
WIPRO,Wipro Ltd
ULTRACEMCO,UltraTech Cement Ltd
ONGC,Oil and Natural Gas Corporation Ltd
NTPC,NTPC Ltd
POWERGRID,Power Grid Corporation of India Ltd
M&M,Mahindra & Mahindra Ltd
TATAMOTORS,Tata Motors Ltd
JSWSTEEL,JSW Steel Ltd
TATASTEEL,Tata Steel Ltd
ADANIENT,Adani Enterprises Ltd
ADANIPORTS,Adani Ports and Special Economic Zone Ltd
TECHM,Tech Mahindra Ltd
BAJAJFINSV,Bajaj Finserv Ltd
HDFCLIFE,HDFC Life Insurance Company Ltd
SBILIFE,SBI Life Insurance Company Ltd
NESTLEIND,Nestle India Ltd
DRREDDY,Dr. Reddys Laboratories Ltd
DIVISLAB,Divis Laboratories Ltd
CIPLA,Cipla Ltd
BRITANNIA,Britannia Industries Ltd
COALINDIA,Coal India Ltd
GRASIM,Grasim Industries Ltd
BPCL,Bharat Petroleum Corporation Ltd
EICHERMOT,Eicher Motors Ltd
APOLLOHOSP,Apollo Hospitals Enterprise Ltd
TATACONSUM,Tata Consumer Products Ltd
HINDALCO,Hindalco Industries Ltd
INDUSINDBK,IndusInd Bank Ltd
HEROMOTOCO,Hero MotoCorp Ltd
BAJAJ-AUTO,Bajaj Auto Ltd
LTIM,LTIMindtree Ltd
SHRIRAMFIN,Shriram Finance Ltd
