Ticker,Name
MUTHOOTFIN,Muthoot Finance Ltd
JUBLFOOD,Jubilant Foodworks Ltd
TRENT,Trent Ltd
ZOMATO,Zomato Ltd
POLICYBZR,PB Fintech Ltd
NYKAA,FSN E-Commerce Ventures Ltd
PAYTM,One97 Communications Ltd
DELHIVERY,Delhivery Ltd
IRCTC,Indian Railway Catering and Tourism Corporation Ltd
HAL,Hindustan Aeronautics Ltd
BEL,Bharat Electronics Ltd
BHEL,Bharat Heavy Electricals Ltd
CONCOR,Container Corporation of India Ltd
MAXHEALTH,Max Healthcare Institute Ltd
FORTIS,Fortis Healthcare Ltd
ASTRAZEN,AstraZeneca Pharma India Ltd
METROPOLIS,Metropolis Healthcare Ltd
LALPATHLAB,Dr Lal PathLabs Ltd
SYNGENE,Syngene International Ltd
GLAND,Gland Pharma Ltd
ABBOTINDIA,Abbott India Ltd
GLAXO,GlaxoSmithKline Pharmaceuticals Ltd
PFIZER,Pfizer Ltd
SANOFI,Sanofi India Ltd
PIIND,PI Industries Ltd
ATUL,Atul Ltd
DEEPAKNTR,Deepak Nitrite Ltd
NAVINFLUOR,Navin Fluorine International Ltd
SRF,SRF Ltd
ASTRAL,Astral Ltd
SUPREMEIND,Supreme Industries Ltd
POLYCAB,Polycab India Ltd
VOLTAS,Voltas Ltd
BLUESTARCO,Blue Star Ltd
CROMPTON,Crompton Greaves Consumer Electricals Ltd
WHIRLPOOL,Whirlpool of India Ltd
RAJESHEXPO,Rajesh Exports Ltd
TITAN,Titan Company Ltd
PAGEIND,Page Industries Ltd
RELAXO,Relaxo Footwears Ltd
BATAINDIA,Bata India Ltd
DEVYANI,Devyani International Ltd
IIFL,IIFL Finance Ltd
CHOLAFIN,Cholamandalam Investment and Finance Co Ltd
MANAPPURAM,Manappuram Finance Ltd
LICHSGFIN,LIC Housing Finance Ltd
CANFINHOME,Can Fin Homes Ltd
AAVAS,Aavas Financiers Ltd
HOMEFIRST,Home First Finance Company India Ltd
