Ticker,Name
TRIDENT,Trident Ltd
RAILTEL,RailTel Corporation of India Ltd
RVNL,Rail Vikas Nigam Ltd
IRFC,Indian Railway Finance Corporation Ltd
SJVN,SJVN Ltd
NHPC,NHPC Ltd
HUDCO,Housing & Urban Development Corporation Ltd
RECLTD,REC Ltd
PFC,Power Finance Corporation Ltd
IDBI,IDBI Bank Ltd
JKPAPER,JK Paper Ltd
ORIENTCEM,Orient Cement Ltd
HEIDELBERG,HeidelbergCement India Ltd
STARCEMENT,Star Cement Ltd
GPPL,Gujarat Pipavav Port Ltd
ESABINDIA,ESAB India Ltd
GRINDWELL,Grindwell Norton Ltd
CARBORUNIV,Carborundum Universal Ltd
BORORENEW,Borosil Renewables Ltd
FINEORG,Fine Organic Industries Ltd
CLEAN,Clean Science and Technology Ltd
ALKYLAMINE,Alkyl Amines Chemicals Ltd
GALAXYSURF,Galaxy Surfactants Ltd
ROSSARI,Rossari Biotech Ltd
TATVA,Tatva Chintan Pharma Chem Ltd
ANURAS,Anupam Rasayan India Ltd
VINATIORGA,Vinati Organics Ltd
NOCIL,NOCIL Ltd
AARTIIND,Aarti Industries Ltd
LINDEINDIA,Linde India Ltd
FLUOROCHEM,Gujarat Fluorochemicals Ltd
PCBL,PCBL Ltd
PHILIPCARB,Phillips Carbon Black Ltd
IOB,Indian Overseas Bank
CENTRALBK,Central Bank of India
KPITTECH,KPIT Technologies Ltd
CYIENT,Cyient Ltd
BIRLASOFT,Birlasoft Ltd
HAPPSTMNDS,Happiest Minds Technologies Ltd
ROUTE,Route Mobile Ltd
TANLA,Tanla Platforms Ltd
MASTEK,Mastek Ltd
NEWGEN,Newgen Software Technologies Ltd
INTELLECT,Intellect Design Arena Ltd
SONATSOFTW,Sonata Software Ltd
ZENSAR,Zensar Technologies Ltd
TATAELXSI,Tata Elxsi Ltd
MINDTREE,MindTree Ltd
BSOFT,Birlasoft Ltd
DATAPATTNS,Data Patterns (India) Ltd
