Ticker,Name
GOOGL,Alphabet Inc Class A
GOOG,Alphabet Inc Class C
META,Meta Platforms Inc
NFLX,Netflix Inc
DIS,Walt Disney Co
CMCSA,Comcast Corp
VZ,Verizon Communications Inc
T,AT&T Inc
TMUS,T-Mobile US Inc
CHTR,Charter Communications Inc
EA,Electronic Arts Inc
TTWO,Take-Two Interactive Software Inc
WBD,Warner Bros. Discovery Inc
OMC,Omnicom Group Inc
LYV,Live Nation Entertainment Inc
MTCH,Match Group Inc
PARA,Paramount Global
IPG,Interpublic Group of Cos Inc
FOXA,Fox Corp Class A
FOX,Fox Corp Class B
NWS,News Corp Class B
NWSA,News Corp Class A
LUMN,Lumen Technologies Inc
