Ticker,Name
AMZN,Amazon.com Inc
TSLA,Tesla Inc
HD,Home Depot Inc
MCD,McDonalds Corp
NKE,Nike Inc
LOW,Lowes Cos Inc
SBUX,Starbucks Corp
TJX,TJX Cos Inc
BKNG,Booking Holdings Inc
ORLY,OReilly Automotive Inc
AZO,AutoZone Inc
MAR,Marriott International Inc
CMG,Chipotle Mexican Grill Inc
GM,General Motors Co
HLT,Hilton Worldwide Holdings Inc
F,Ford Motor Co
ROST,Ross Stores Inc
YUM,Yum! Brands Inc
DHI,D.R. Horton Inc
ABNB,Airbnb Inc
LEN,Lennar Corp
EXPE,Expedia Group Inc
EBAY,eBay Inc
ULTA,Ulta Beauty Inc
TSCO,Tractor Supply Co
DRI,Darden Restaurants Inc
GPC,Genuine Parts Co
BBY,Best Buy Co Inc
DECK,Deckers Outdoor Corp
PHM,PulteGroup Inc
NVR,NVR Inc
LVS,Las Vegas Sands Corp
GRMN,Garmin Ltd
POOL,Pool Corp
RCL,Royal Caribbean Cruises Ltd
CCL,Carnival Corp
MGM,MGM Resorts International
DPZ,Dominos Pizza Inc
WYNN,Wynn Resorts Ltd
APTV,Aptiv PLC
BWA,BorgWarner Inc
CZR,Caesars Entertainment Inc
HAS,Hasbro Inc
MHK,Mohawk Industries Inc
NWL,Newell Brands Inc
WHR,Whirlpool Corp
TPR,Tapestry Inc
PVH,PVH Corp
RL,Ralph Lauren Corp
VFC,VF Corp
