Ticker,Name
PG,Procter & Gamble Co
KO,Coca-Cola Co
PEP,PepsiCo Inc
COST,Costco Wholesale Corp
WMT,Walmart Inc
PM,Philip Morris International Inc
MDLZ,Mondelez International Inc
MO,Altria Group Inc
CL,Colgate-Palmolive Co
TGT,Target Corp
ADM,Archer-Daniels-Midland Co
STZ,Constellation Brands Inc
GIS,General Mills Inc
SYY,Sysco Corp
KMB,Kimberly-Clark Corp
HSY,Hershey Co
KDP,Keurig Dr Pepper Inc
KR,Kroger Co
MNST,Monster Beverage Corp
EL,Estee Lauder Cos Inc
KHC,Kraft Heinz Co
K,Kellanova
CAG,Conagra Brands Inc
CLX,Clorox Co
TSN,Tyson Foods Inc
MKC,McCormick & Co Inc
CHD,Church & Dwight Co Inc
SJM,J.M. Smucker Co
HRL,Hormel Foods Corp
CPB,Campbell Soup Co
LW,Lamb Weston Holdings Inc
TAP,Molson Coors Beverage Co
BG,Bunge Global SA
WBA,Walgreens Boots Alliance Inc
BF-B,Brown-Forman Corp Class B
