Ticker,Name
XOM,Exxon Mobil Corp
CVX,Chevron Corp
COP,ConocoPhillips
EOG,EOG Resources Inc
SLB,Schlumberger NV
MPC,Marathon Petroleum Corp
PXD,Pioneer Natural Resources Co
PSX,Phillips 66
VLO,Valero Energy Corp
OXY,Occidental Petroleum Corp
WMB,Williams Cos Inc
HES,Hess Corp
KMI,Kinder Morgan Inc
HAL,Halliburton Co
DVN,Devon Energy Corp
BKR,Baker Hughes Co
FANG,Diamondback Energy Inc
CTRA,Coterra Energy Inc
OKE,ONEOK Inc
TRGP,Targa Resources Corp
MRO,Marathon Oil Corp
APA,APA Corp
EQT,EQT Corp
PR,Permian Resources Corp
