Ticker,Name
BRK-B,Berkshire Hathaway Inc Class B
JPM,JPMorgan Chase & Co
V,Visa Inc
MA,Mastercard Inc
BAC,Bank of America Corp
WFC,Wells Fargo & Co
GS,Goldman Sachs Group Inc
MS,Morgan Stanley
SPGI,S&P Global Inc
BLK,BlackRock Inc
C,Citigroup Inc
AXP,American Express Co
SCHW,Charles Schwab Corp
CB,Chubb Ltd
PGR,Progressive Corp
MMC,Marsh & McLennan Cos Inc
CME,CME Group Inc
AON,Aon plc
ICE,Intercontinental Exchange Inc
MCO,Moodys Corp
USB,U.S. Bancorp
AJG,Arthur J. Gallagher & Co
PNC,PNC Financial Services Group Inc
MET,MetLife Inc
TRV,Travelers Cos Inc
AIG,American International Group Inc
AFL,Aflac Inc
ALL,Allstate Corp
PRU,Prudential Financial Inc
BK,Bank of New York Mellon Corp
COF,Capital One Financial Corp
MSCI,MSCI Inc
TFC,Truist Financial Corp
AMP,Ameriprise Financial Inc
DFS,Discover Financial Services
NDAQ,Nasdaq Inc
FIS,Fidelity National Information Services Inc
FITB,Fifth Third Bancorp
STT,State Street Corp
MTB,M&T Bank Corp
HBAN,Huntington Bancshares Inc
RJF,Raymond James Financial Inc
WRB,W. R. Berkley Corp
CINF,Cincinnati Financial Corp
RF,Regions Financial Corp
CFG,Citizens Financial Group Inc
KEY,KeyCorp
L,Loews Corp
BRO,Brown & Brown Inc
TROW,T. Rowe Price Group Inc
