Ticker,Name
UNH,UnitedHealth Group Inc
JNJ,Johnson & Johnson
LLY,Eli Lilly and Co
ABBV,AbbVie Inc
MRK,Merck & Co Inc
TMO,Thermo Fisher Scientific Inc
ABT,Abbott Laboratories
PFE,Pfizer Inc
DHR,Danaher Corp
AMGN,Amgen Inc
BMY,Bristol-Myers Squibb Co
MDT,Medtronic plc
ISRG,Intuitive Surgical Inc
GILD,Gilead Sciences Inc
CVS,CVS Health Corp
VRTX,Vertex Pharmaceuticals Inc
SYK,Stryker Corp
REGN,Regeneron Pharmaceuticals Inc
BSX,Boston Scientific Corp
ZTS,Zoetis Inc
BDX,Becton Dickinson and Co
CI,The Cigna Group
HUM,Humana Inc
ELV,Elevance Health Inc
MCK,McKesson Corp
HCA,HCA Healthcare Inc
GEHC,GE HealthCare Technologies Inc
MRNA,Moderna Inc
IQV,IQVIA Holdings Inc
EW,Edwards Lifesciences Corp
IDXX,IDEXX Laboratories Inc
A,Agilent Technologies Inc
BIIB,Biogen Inc
DXCM,DexCom Inc
RMD,ResMed Inc
MTD,Mettler-Toledo International Inc
CAH,Cardinal Health Inc
COR,Cencora Inc
HOLX,Hologic Inc
ILMN,Illumina Inc
WST,West Pharmaceutical Services Inc
ALGN,Align Technology Inc
TECH,Bio-Techne Corp
RVTY,Revvity Inc
CRL,Charles River Laboratories International Inc
DGX,Quest Diagnostics Inc
HSIC,Henry Schein Inc
VTRS,Viatris Inc
OGN,Organon & Co
CTLT,Catalent Inc
