Ticker,Name
GE,General Electric Co
CAT,Caterpillar Inc
RTX,RTX Corp
HON,Honeywell International Inc
UNP,Union Pacific Corp
UPS,United Parcel Service Inc
BA,Boeing Co
DE,Deere & Co
LMT,Lockheed Martin Corp
ADP,Automatic Data Processing Inc
ETN,Eaton Corp PLC
GD,General Dynamics Corp
ITW,Illinois Tool Works Inc
WM,Waste Management Inc
CSX,CSX Corp
NOC,Northrop Grumman Corp
NSC,Norfolk Southern Corp
EMR,Emerson Electric Co
PH,Parker-Hannifin Corp
CTAS,Cintas Corp
PCAR,PACCAR Inc
TT,Trane Technologies PLC
JCI,Johnson Controls International plc
CARR,Carrier Global Corp
GWW,W.W. Grainger Inc
CPRT,Copart Inc
FAST,Fastenal Co
VRSK,Verisk Analytics Inc
RSG,Republic Services Inc
ODFL,Old Dominion Freight Line Inc
FDX,FedEx Corp
PWR,Quanta Services Inc
AME,AMETEK Inc
IR,Ingersoll Rand Inc
ROK,Rockwell Automation Inc
OTIS,Otis Worldwide Corp
DOV,Dover Corp
CMI,Cummins Inc
EFX,Equifax Inc
PAYX,Paychex Inc
DAL,Delta Air Lines Inc
LUV,Southwest Airlines Co
UAL,United Airlines Holdings Inc
AAL,American Airlines Group Inc
XYL,Xylem Inc
WAB,Westinghouse Air Brake Technologies Corp
SWK,Stanley Black & Decker Inc
HWM,Howmet Aerospace Inc
GPN,Global Payments Inc
J,Jacobs Solutions Inc
