Ticker,Name
LIN,Linde plc
APD,Air Products and Chemicals Inc
SHW,Sherwin-Williams Co
FCX,Freeport-McMoRan Inc
ECL,Ecolab Inc
NEM,Newmont Corp
NUE,Nucor Corp
DOW,Dow Inc
CTVA,Corteva Inc
DD,DuPont de Nemours Inc
VMC,Vulcan Materials Co
MLM,Martin Marietta Materials Inc
PPG,PPG Industries Inc
STLD,Steel Dynamics Inc
BLL,Ball Corp
IFF,International Flavors & Fragrances Inc
ALB,Albemarle Corp
FMC,FMC Corp
CF,CF Industries Holdings Inc
MOS,Mosaic Co
AVY,Avery Dennison Corp
PKG,Packaging Corp of America
IP,International Paper Co
CE,Celanese Corp
EMN,Eastman Chemical Co
WRK,WestRock Co
SEE,Sealed Air Corp
AMCR,Amcor plc
