Ticker,Name
PLD,Prologis Inc
AMT,American Tower Corp
EQIX,Equinix Inc
CCI,Crown Castle Inc
PSA,Public Storage
O,Realty Income Corp
SPG,Simon Property Group Inc
WELL,Welltower Inc
DLR,Digital Realty Trust Inc
VICI,VICI Properties Inc
AVB,AvalonBay Communities Inc
EQR,Equity Residential
CBRE,CBRE Group Inc
WY,Weyerhaeuser Co
VTR,Ventas Inc
IRM,Iron Mountain Inc
ARE,Alexandria Real Estate Equities Inc
EXR,Extra Space Storage Inc
MAA,Mid-America Apartment Communities Inc
INVH,Invitation Homes Inc
SUI,Sun Communities Inc
KIM,Kimco Realty Corp
SBAC,SBA Communications Corp
ESS,Essex Property Trust Inc
HST,Host Hotels & Resorts Inc
DOC,Healthpeak Properties Inc
CPT,Camden Property Trust
REG,Regency Centers Corp
UDR,UDR Inc
BXP,Boston Properties Inc
