Ticker,Name
SPY,S&P 500 ETF
QQQ,Nasdaq 100 ETF
DIA,Dow Jones ETF
IWM,Russell 2000 ETF
VTI,Total Stock Market ETF
XLK,Technology Select Sector
XLF,Financial Select Sector
XLV,Health Care Select Sector
XLE,Energy Select Sector
XLI,Industrial Select Sector
XLP,Consumer Staples Select Sector
XLY,Consumer Discretionary Select Sector
XLB,Materials Select Sector
XLU,Utilities Select Sector
XLRE,Real Estate Select Sector
XLC,Communication Services Select Sector
SMH,Semiconductor ETF
XBI,Biotech ETF
XHB,Homebuilders ETF
XRT,Retail ETF
KRE,Regional Banking ETF
XOP,Oil & Gas Exploration ETF
GDX,Gold Miners ETF
SLV,Silver ETF
GLD,Gold ETF
TLT,20+ Year Treasury Bond ETF
HYG,High Yield Corporate Bond ETF
VIX,Volatility Index
USO,United States Oil Fund
UNG,United States Natural Gas Fund
DBC,Commodities Index ETF
EEM,Emerging Markets ETF
EFA,EAFE (Developed Markets) ETF
FXI,China Large-Cap ETF
EWJ,Japan ETF
EWZ,Brazil ETF
INDA,India ETF
