Ticker,Name
NEE,NextEra Energy Inc
SO,Southern Co
DUK,Duke Energy Corp
CEG,Constellation Energy Corp
SRE,Sempra
AEP,American Electric Power Co Inc
D,Dominion Energy Inc
PCG,PG&E Corp
EXC,Exelon Corp
XEL,Xcel Energy Inc
ED,Consolidated Edison Inc
PEG,Public Service Enterprise Group Inc
WEC,WEC Energy Group Inc
AWK,American Water Works Co Inc
ES,Eversource Energy
EIX,Edison International
ETR,Entergy Corp
DTE,DTE Energy Co
PPL,PPL Corp
FE,FirstEnergy Corp
AEE,Ameren Corp
CMS,CMS Energy Corp
CNP,CenterPoint Energy Inc
ATO,Atmos Energy Corp
NI,NiSource Inc
EVRG,Evergy Inc
LNT,Alliant Energy Corp
NRG,NRG Energy Inc
PNW,Pinnacle West Capital Corp
